citizen_id,scheme_id,status,first_detected_at,last_checked_at,last_notified_at,notification_count
C001,S039,eligible,2026-09-10,2026-09-22T18:36:08.106313+00:00,,0
C001,S012,eligible,2026-09-10,2026-09-10,,0
C002,S039,eligible,2026-09-10T16:26:57.934305+00:00,2026-09-10T16:26:57.934305+00:00,,0
C001,S007,missing_information,2026-09-10T16:33:16.249036+00:00,2026-09-22T18:36:08.106313+00:00,,0
C001,S009,missing_information,2026-09-10T16:33:16.249036+00:00,2026-09-22T18:36:08.106313+00:00,,0
C001,S016,missing_information,2026-09-10T16:33:16.249036+00:00,2026-09-22T18:36:08.106313+00:00,,0
C001,S017,missing_information,2026-09-10T16:33:16.249036+00:00,2026-09-22T18:36:08.106313+00:00,,0
C001,S022,missing_information,2026-09-10T16:33:16.249036+00:00,2026-09-22T18:36:08.106313+00:00,,0
C002,S016,missing_information,2026-09-10T16:33:16.283849+00:00,2026-09-22T18:36:08.211695+00:00,,0
C002,S017,missing_information,2026-09-10T16:33:16.283849+00:00,2026-09-22T18:36:08.211695+00:00,,0
C002,S022,missing_information,2026-09-10T16:33:16.283849+00:00,2026-09-22T18:36:08.211695+00:00,,0
C003,S007,missing_information,2026-09-10T17:00:28.257149+00:00,2026-09-10T17:01:20.408518+00:00,,0
C003,S009,missing_information,2026-09-10T17:00:28.257149+00:00,2026-09-10T17:01:20.408518+00:00,,0
C003,S016,missing_information,2026-09-10T17:00:28.257149+00:00,2026-09-10T17:01:20.408518+00:00,,0
C003,S017,missing_information,2026-09-10T17:00:28.257149+00:00,2026-09-10T17:01:20.408518+00:00,,0
C003,S022,missing_information,2026-09-10T17:00:28.257149+00:00,2026-09-10T17:01:20.408518+00:00,,0
C003,S039,eligible,2026-09-10T17:00:28.257149+00:00,2026-09-11,,0
C003,S039,eligible,2026-09-11,2026-09-11,,0
